,lat,lon,Logement,Coût_chauffage,Surface_habitable_logement,Etiquette_DPE,Année_construction,Coût_total_5_usages
827,45.732658,4.855576,neuf,54.7,19.9,B,2024.0,176.3
828,45.732658,4.855576,neuf,98.7,19.9,C,2024.0,220.4
829,45.732658,4.855576,neuf,54.0,19.6,B,2024.0,174.8
830,45.73067,4.871853,neuf,251.9,62.5,C,2024.0,463.7
831,45.733823,4.853065,neuf,170.0,45.6,C,2024.0,406.1
832,45.732658,4.855576,neuf,109.7,60.2,B,2024.0,359.3
833,45.732658,4.855576,neuf,91.5,19.9,C,2024.0,213.2
834,45.733676,4.852691,neuf,112.5,46.1,C,2024.0,355.2
835,45.733676,4.852691,neuf,106.7,29.6,C,2024.0,288.9
836,45.733823,4.853065,neuf,245.4,89.6,C,2024.0,581.9
837,45.733676,4.852691,neuf,93.8,42.3,B,2024.0,322.4
838,45.732658,4.855576,neuf,168.0,46.9,B,2024.0,363.5
839,45.733676,4.852691,neuf,208.0,60.5,C,2024.0,495.8
840,45.732658,4.855576,neuf,54.7,19.9,B,2024.0,176.4
841,45.732658,4.855576,neuf,54.7,19.9,B,2024.0,176.3
842,45.732658,4.855576,neuf,66.0,19.6,C,2024.0,186.9
843,45.733676,4.852691,neuf,142.1,41.8,C,2024.0,369.1
844,45.732658,4.855576,neuf,54.0,19.6,B,2024.0,174.8
845,45.732658,4.855576,neuf,75.3,19.9,C,2024.0,196.9
846,45.733676,4.852691,neuf,107.7,38.2,C,2024.0,321.5
847,45.733823,4.853065,neuf,95.8,60.8,B,2024.0,369.9
848,45.732658,4.855576,neuf,70.9,19.9,C,2024.0,192.6
849,45.733676,4.852691,neuf,93.8,42.3,B,2024.0,322.4
850,45.733676,4.852691,neuf,150.1,60.9,B,2024.0,439.2
851,45.732658,4.855576,neuf,54.7,19.9,B,2024.0,176.3
852,45.733802,4.852669,neuf,87.2,60.4,B,2024.0,315.1
853,45.733802,4.852669,neuf,185.2,76.9,B,2024.0,443.9
854,45.732658,4.855576,neuf,49.4,38.5,B,2024.0,244.3
855,45.732658,4.855576,neuf,54.7,19.9,B,2024.0,176.3
856,45.732658,4.855576,neuf,54.7,19.9,B,2024.0,176.3
857,45.733676,4.852691,neuf,149.2,58.7,B,2024.0,432.0
858,45.732658,4.855576,neuf,54.7,19.9,B,2024.0,176.3
859,45.733676,4.852691,neuf,146.4,37.6,C,2024.0,357.9
860,45.732658,4.855576,neuf,151.6,61.7,B,2024.0,404.4
861,45.733676,4.852691,neuf,148.5,60.9,B,2024.0,437.6
862,45.73067,4.871853,neuf,129.6,42.9,C,2024.0,302.5
863,45.73067,4.871853,neuf,205.4,67.0,C,2024.0,424.9
864,45.733676,4.852691,neuf,142.1,41.8,C,2024.0,369.1
865,45.73067,4.871853,neuf,243.1,67.0,C,2024.0,462.7
866,45.733791,4.852379,neuf,203.9,44.5,B,2024.0,262.0
867,45.733676,4.852691,neuf,137.7,45.4,C,2024.0,378.1
868,45.732658,4.855576,neuf,54.3,20.1,B,2024.0,176.5
869,45.732658,4.855576,neuf,83.1,19.9,C,2024.0,204.8
870,45.733823,4.853065,neuf,130.5,43.3,C,2024.0,359.1
871,45.733676,4.852691,neuf,72.2,28.9,C,2024.0,251.7
872,45.732658,4.855576,neuf,54.7,19.9,B,2024.0,176.3
873,45.733676,4.852691,neuf,71.9,28.9,C,2024.0,251.3
874,45.733676,4.852691,neuf,107.9,45.0,C,2024.0,346.5
875,45.745354,4.86409,neuf,371.0,64.7,C,2024.0,611.6
876,45.73067,4.871853,neuf,219.5,64.0,C,2024.0,433.9
877,45.732658,4.855576,neuf,66.0,19.6,C,2024.0,186.8
878,45.73067,4.871853,neuf,268.5,54.5,C,2024.0,466.5
879,45.732658,4.855576,neuf,65.9,21.2,B,2024.0,191.2
880,45.732658,4.855576,neuf,107.8,45.3,B,2024.0,322.6
881,45.733676,4.852691,neuf,122.7,40.0,C,2024.0,343.1
882,45.734958,4.857251,neuf,126.0,30.0,B,2024.0,286.0
883,45.734958,4.857251,neuf,437.0,94.2,C,2024.0,635.0
884,45.734958,4.857251,neuf,276.0,64.3,C,2024.0,484.0
885,45.734958,4.857251,neuf,264.0,60.4,C,2024.0,474.0
886,45.734958,4.857251,neuf,381.0,84.8,C,2024.0,582.0
887,45.734958,4.857251,neuf,126.0,30.0,B,2024.0,286.0
888,45.732658,4.855576,neuf,54.7,19.9,B,2024.0,176.3
889,45.733676,4.852691,neuf,92.5,35.2,C,2024.0,295.2
890,45.732658,4.855576,neuf,198.8,46.9,B,2024.0,394.3
891,45.732658,4.855576,neuf,62.8,19.9,C,2024.0,184.5
892,45.733676,4.852691,neuf,130.1,45.0,C,2024.0,368.7
893,45.73067,4.871853,neuf,251.9,62.5,C,2024.0,463.7
894,45.733676,4.852691,neuf,85.1,36.9,C,2024.0,294.1
895,45.734958,4.857251,neuf,176.0,44.5,B,2024.0,373.0
896,45.733676,4.852691,neuf,99.1,44.6,B,2024.0,336.5
897,45.732658,4.855576,neuf,179.1,44.5,B,2024.0,368.0
898,45.73067,4.871853,neuf,338.8,78.5,C,2024.0,578.2
899,45.73067,4.871853,neuf,226.7,80.5,B,2024.0,469.6
900,45.732658,4.855576,neuf,70.0,19.6,C,2024.0,190.9
901,45.733802,4.852669,neuf,110.4,78.6,B,2024.0,372.3
902,45.734958,4.857251,neuf,264.0,60.4,C,2024.0,474.0
903,45.733676,4.852691,neuf,141.7,59.5,B,2024.0,426.7
904,45.733676,4.852691,neuf,93.0,34.1,C,2024.0,291.8
905,45.732658,4.855576,neuf,70.5,19.9,C,2024.0,192.2
906,45.734958,4.857251,neuf,276.0,64.3,C,2024.0,484.0
907,45.734958,4.857251,neuf,126.0,30.0,B,2024.0,286.0
908,45.734958,4.857251,neuf,406.0,76.7,C,2024.0,609.0
909,45.734958,4.857251,neuf,264.0,60.4,C,2024.0,474.0
910,45.734958,4.857251,neuf,276.0,64.3,C,2024.0,484.0
911,45.733676,4.852691,neuf,99.1,44.6,B,2024.0,336.5
912,45.733676,4.852691,neuf,99.8,39.8,C,2024.0,319.4
913,45.745354,4.86409,neuf,342.8,59.8,C,2024.0,573.8
914,45.73067,4.871853,neuf,275.1,64.0,C,2024.0,489.5
915,45.73067,4.871853,neuf,6858.0,1664.3,C,2024.0,12626.0
916,45.732658,4.855576,neuf,70.5,19.9,C,2024.0,192.2
917,45.733676,4.852691,neuf,103.2,46.5,B,2024.0,347.7
918,45.73067,4.871853,neuf,205.4,67.0,C,2024.0,424.9
919,45.732658,4.855576,neuf,54.7,19.9,B,2024.0,176.3
920,45.733676,4.852691,neuf,106.7,29.6,C,2024.0,288.9
921,45.733676,4.852691,neuf,109.4,42.3,C,2024.0,338.1
922,45.733823,4.853065,neuf,145.9,60.8,C,2024.0,420.0
923,45.733791,4.852379,neuf,126.4,41.5,B,2024.0,180.8
924,45.733791,4.852379,neuf,167.2,58.0,B,2024.0,242.2
925,45.732658,4.855576,neuf,66.0,19.6,C,2024.0,186.8
926,45.73067,4.871853,neuf,245.2,62.5,C,2024.0,457.0
927,45.733676,4.852691,neuf,71.9,28.9,C,2024.0,251.3
928,45.733676,4.852691,neuf,94.5,28.9,C,2024.0,274.0
